title,price,list_price,sale_type,marketplace,date,bids,external_id,url
1999 Pokemon Base Set Charizard 4/102 Holo Rare PSA 10 GEM MINT,26500,,auction,ebay,2026-08-24,47,smp-1001,https://www.ebay.com/itm/sample1001
Pokemon Base Set Charizard #4/102 Holo PSA 9 MINT,4600,5999,best_offer,ebay,2026-08-19,,smp-1002,https://www.ebay.com/itm/sample1002
1999 Pokemon Base Set Charizard Holo 4/102 Raw NM,875,,bin,ebay,2026-08-30,,smp-1003,https://www.ebay.com/itm/sample1003
Pokemon Base Set Charizard 4/102 Holo Rare CGC 8,1450,,auction,goldin,2026-08-10,22,smp-1004,https://goldin.co/item/sample1004
1999 Pokemon Base Set Blastoise 2/102 Holo PSA 9,720,899,best_offer,ebay,2026-08-15,,smp-1005,https://www.ebay.com/itm/sample1005
Pokemon Vivid Voltage Pikachu VMAX 044/185 Rainbow PSA 10,138,,auction,fanatics,2026-08-21,31,smp-1006,https://www.fanaticscollect.com/sample1006
Pokemon Vivid Voltage Charizard 025/185 Reverse Holo NM,6,,bin,ebay,2026-08-28,,smp-1007,https://www.ebay.com/itm/sample1007
MTG Kamigawa Neon Dynasty The Wandering Emperor Foil NM,42,55,best_offer,ebay,2026-08-26,,smp-1008,https://www.ebay.com/itm/sample1008
Huge lot of 500 assorted pokemon cards bulk collection,89,,bin,ebay,2026-08-22,,smp-1009,https://www.ebay.com/itm/sample1009
1999 Pokemon Base Set Venusaur 15/102 Holo BGS 9.5,1050,,auction,goldin,2026-07-30,18,smp-1010,https://goldin.co/item/sample1010
